num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,kurtosis_mean,kurtosis_std
2.0,0.03554204999999992,0.03851857845204181,0.00017705819999989104,0.00016327892637729377,5.654255258427582,9.188083776908499
3.0,0.013144641599999752,0.0074272320304191175,0.00015722480000004423,6.877006423244993e-05,5.763307824707455,6.705050296247515
4.0,0.012772016399999763,0.019876173147893347,0.00012726680000003655,9.388958989245362e-05,3.9786700396956256,5.070346317318356
5.0,0.007791008199999894,0.0027413927128858064,0.00036076680000007855,0.0005317995191705968,4.391730290122503,4.678840547562587
6.0,0.013010150200000048,0.006567752485922102,0.0001090164000004279,2.8779531848873583e-05,3.6282114376510344,3.8988686953719567
7.0,0.0060045417999997856,0.0010509280735828865,9.304160000009887e-05,1.598810895106864e-05,3.883631930416969,3.5476799545839834
8.0,0.42016245000000013,0.08027214528251948,0.00013347500000016055,1.6499768349936754e-05,4.0022366976469375,3.01387018162317
9.0,0.37924827499999997,0.07501925943209545,0.00013857500000007404,1.2543849760085626e-05,4.360477434939247,2.9568461628903173
10.0,1.0081133249999996,0.3409001574042086,0.0001775832000003419,6.978574090290347e-05,7.958321905541569,1.919170215972886
11.0,2.441047125,0.7404405750667934,0.00023800819999948432,0.00011440661486438993,15.669670029426081,15.285457761380265
