num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,reconstruction_error_mean,reconstruction_error_std
2.0,0.00013075859997115912,5.871757124036125e-05,6.081659998926625e-05,2.656075675591143e-05,1888.1159511519024,179.2103567148668
3.0,9.556679999604967e-05,1.3989758928413892e-05,4.897460000847786e-05,7.776616093424556e-06,1670.2732434256177,232.158493948622
4.0,8.78670000247439e-05,1.4127227476760658e-05,4.305799998292059e-05,4.5267280197546e-06,1206.7156261939529,417.14428966579965
5.0,9.048339998116717e-05,1.3401949551704533e-05,4.4683399983114215e-05,3.5308086149309644e-06,1176.9628896895597,452.4369575889549
6.0,8.224979999340575e-05,5.351597374286646e-06,4.289999999400607e-05,1.4081054992576275e-06,913.9042216279347,483.9106288070723
7.0,8.89667999899757e-05,1.0802871167550625e-05,4.6800199970675746e-05,5.4910358364962245e-06,649.7626073646992,143.89603499264965
8.0,8.506659999056865e-05,8.887762740798521e-06,4.514180002388457e-05,2.8357550888558677e-06,451.8431565245367,288.70146482845
9.0,8.724999997866689e-05,9.444713687234844e-06,4.830840000522585e-05,8.369599950041846e-06,625.9042213841326,430.75177302296055
10.0,7.645020000381919e-05,6.632903901132485e-06,4.170839997641451e-05,2.1236146207753316e-06,101.20580943316641,71.56420147300611
11.0,7.701659997110255e-05,4.7872193410064386e-06,4.324159997395327e-05,2.0342700397421665e-06,1.720158522953507e-26,1.0439692174092748e-26
12.0,0.00016848359998675733,9.993181224328788e-05,5.895859999327513e-05,1.947762778924338e-05,1.690141051193662e-26,1.8253013691346065e-26
13.0,0.00011879179996867605,3.68083333957655e-05,4.560020001918019e-05,2.4199779911419704e-06,9.49411810945001e-27,1.376769747800541e-26
14.0,0.00010307520001333615,2.1525763089963642e-05,4.6566400010306096e-05,3.436969293645404e-06,1.5447514523192636e-26,2.589682460947255e-26
15.0,0.00012919999996938714,3.6894312643647045e-05,5.5074999977478e-05,1.800114234159548e-06,3.422157176105171e-27,3.1100197030754427e-27
16.0,0.00015063339999414892,5.6312718296194794e-05,5.119999998441927e-05,5.7536210543417174e-06,2.659177885575719e-27,1.5415666017419927e-27
17.0,0.00010839159999704861,2.8761625613717828e-05,5.179160000352567e-05,6.745382353286247e-06,2.9418300144188943e-27,1.1730082645867154e-27
18.0,9.967480004888785e-05,1.2811091464071041e-05,4.977499997949053e-05,2.689157285449368e-06,5.1106765869368235e-27,5.470740256530096e-27
19.0,9.430840000277386e-05,8.755463914635399e-06,5.0233199976901234e-05,1.7933708466737905e-06,4.823893456695697e-27,2.430563088082263e-27
20.0,9.794999998575804e-05,1.2773815235759307e-05,5.049180003879883e-05,2.666957692890652e-06,2.5671785457320697e-27,1.7227915386301813e-27
