num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,calinski_harabasz_score_mean,calinski_harabasz_score_std,davies_bouldin_score_mean,davies_bouldin_score_std,adjusted_rand_score_mean,adjusted_rand_score_std,adjusted_mutual_info_score_mean,adjusted_mutual_info_score_std,homogeneity_score_mean,homogeneity_score_std,completeness_score_mean,completeness_score_std,silhouette_score_mean,silhouette_score_std
2,1.0225697426001716,0.21941314256249497,0.004723080799158197,0.0019323980668423633,16.338974662137066,1.1189681327040775,5.271093488448479,0.09049345809247049,0.31215072531847515,0.1398642367556884,0.36796173829273576,0.13002366422537873,0.29585241018649533,0.10875452379587411,0.49157550557798135,0.15972535778059563,0.12748218751968615,0.04106693997873304
3,1.0984594572008064,0.4750051024786079,0.004141108800104121,0.0030536691986579015,16.572724850793442,0.39545135247315794,4.850977009747343,0.0345305791781117,0.40413780144161315,0.00935190727217514,0.5285032304269126,0.021162926294030052,0.5042890899126646,0.02124659374213971,0.558583581529031,0.021479468840444993,0.1578121055468015,0.009073229148988154
4,1.8749715701997047,0.6155621388374736,0.011296696599310962,0.006319429273882558,16.378080786910196,0.9673659418967555,4.296229386992087,0.12685959112101933,0.5039452195609677,0.1724181083459629,0.5826369328420105,0.13924907302210243,0.6332643114053897,0.17450947586411553,0.54391271637663,0.11092954202449454,0.08334833870846739,0.06182086304461833
5,0.9916409524004848,0.3261702943011587,0.007728491999296238,0.004097114832627681,16.14478524040435,1.450501334404211,4.051295882538922,0.15989514953732709,0.6158638129944617,0.12968791773344687,0.6785032943367081,0.0940966442321987,0.8041125304250558,0.13358025009742702,0.5903043487106256,0.06730829309076634,0.028498468977182046,0.025235794448494258
6,2.1223473404003017,0.8326325004245931,0.010092372399230953,0.0029634675349215164,15.754429226495228,1.6548442218967228,3.862436101502041,0.16096356095400247,0.5959350060491398,0.08929081234755858,0.6633427712159017,0.051323333065671335,0.8258795976029092,0.06767232215144593,0.557301739258728,0.04216850935469696,0.00417496330332299,0.017154980269322263
7,1.6032230971999524,0.3209883367019411,0.012798579800437438,0.00514341858566512,15.029739265701568,1.158487967173766,3.705351613969205,0.1600168266670041,0.5679395272721341,0.08874517294648963,0.6534758802695017,0.05421163563407163,0.8474974433951459,0.07975866350010137,0.5354068944368748,0.04114148443079617,0.015239924948763967,0.01297914131158219
8,2.7286371700000016,0.7269464409673412,0.015861992799909786,0.007258196911387797,14.266728997597554,0.45256910090597324,3.4857616964080043,0.12434675138741397,0.5391867354773876,0.08673697845417218,0.645486599325387,0.049187869796551764,0.882124121449101,0.05948178247454013,0.5125395758153232,0.04119833750749627,0.007361026132069371,0.012388600145078105
9,2.998986397800036,1.0962672799743534,0.015596507199370535,0.004259791500184893,14.869829581007753,0.965038481106507,3.287100607398437,0.07713913238990855,0.5282955638779145,0.01639305864096524,0.6378520720689884,0.016467697449879,0.9010092457375448,0.027794683580584102,0.49756498995388415,0.011802707572899333,0.0209575794254313,0.008551478347055422
10,2.4787188301997958,0.7456811364838771,0.009661084600520554,0.0035063591249307933,14.216198653286705,0.32794188223984966,3.2539026060440746,0.1794215481570564,0.5357429391558264,0.04893092239019114,0.6335906576260902,0.01841957785979664,0.8980847505114748,0.02006807026282296,0.4936687648334007,0.01651044849114647,0.01965516357884267,0.009684135454381935
11,3.003928204199474,0.3964570036620636,0.012478653600555844,0.0049749115350279935,13.343862253639651,0.6547198049664206,3.135240509788042,0.13542711559937146,0.535654174607024,0.03806407934574932,0.6345914336951146,0.012719428701057243,0.9206856814761333,0.021211338234027082,0.4889207793901159,0.011301705038412012,0.01534428779393755,0.008651441709676867
