dataset,method,num_clusters,accuracy,mse,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std
mnist,kmeans,30,0.9847,,4.5103832043969305,0.4309941582008082,0.0036412019981071,0.0011784168854492
mnist,gmm,18,0.9299,,7.85020284219936,3.2289285009892046,0.0374635093961842,0.002960509071384
wine_quality,kmeans,20,,0.7053,3.678567383802146,0.3616372065351728,0.0053173023974522,0.0031371836315364
wine_quality,gmm,5,,0.7158,1.034080436002114,0.1707130387828831,0.00108306260081,0.0005825771803647
