Method,Training Time Mean,Training Time Std,Evaluation Time Mean,Evaluation Time Std,Validation Accuracy
PCA,1.8828613581950777,0.30315783387084766,0.00057914979988706,0.00010676828124977602,0.9922147651006712
ICA,1.9579173581965734,0.4773874547536237,0.00400759160402226,0.005452296127152567,0.9908724832214766
RP,5.079613883397542,1.6279625671647608,0.0009056915994733201,0.0001667342873313155,0.9936912751677852
LLE,1.5925348834076432,0.35391168400798617,0.00047898319317021994,1.4865729992339393e-05,0.9903355704697987
baseline,5.193383891595294,1.665812559191246,0.00118837499758222,0.0005482472113281496,0.9930201342281879
