training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,mse_mean,mse_std,kurtosis_mean,kurtosis_std,num_components
0.0112204424007359,0.0069296379830622,0.000282655599949,5.942778429095487e-05,0.8055342699020859,0.0478219449820486,4.074525520416544,8.054905914296901,2.0
0.0103332094000506,0.001794249681356,0.0002984637998451,3.915466919285791e-05,0.7857811834823328,0.0283737184118063,3.3022853927914104,4.731697555465358,3.0
0.0234652136005024,0.0213615409536039,0.000337725600184,7.074111403497942e-05,0.587115084433092,0.0241930239908681,2.945568256533348,5.775824192399295,4.0
0.0375521353998919,0.0124989567136626,0.0004262773996742,0.0001444607375012,0.5916844047112246,0.0436144465096389,2.566972299180245,5.170100709942933,5.0
0.0481149417999404,0.0332501163495861,0.0002914963995863,1.5274347908687722e-05,0.5700014190435646,0.0179504018964843,2.272852472934288,4.428937930702475,6.0
0.0274847918004525,0.0113040745095786,0.0002971492001961,7.619542072503407e-05,0.5479778629203917,0.0188865262803919,2.3089014800302143,4.611173131605054,7.0
0.0830948031998559,0.0175568489712235,0.0002611589996377,6.187560779105579e-05,0.5503618561089825,0.0084528317037189,2.523790444014273,4.485689073606117,8.0
0.1155634255999757,0.0314979557304027,0.000305131999994,6.091479693449248e-05,0.5308074357882787,0.0171556674263694,2.9185441347954977,3.9075458479651215,9.0
0.1333053692000248,0.0261151626283391,0.0002651102000527,6.135687254663716e-05,0.5385837945224917,0.028054688660645,6.609157344981636,12.041478810414706,10.0
0.1677686790000734,0.0518075024981121,0.0002749870000116,6.885691873992758e-05,0.515396622676316,0.0296803401490759,16.665176119512207,50.792036527546585,11.0
