num_components,bic_mean,aic_mean,bic_std,aic_std,silhouette_score_mean,silhouette_score_std
2,14376.736580209543,13477.204146381957,142.05140648686938,142.05140648686938,0.09570886819702389,0.022078358443136617
3,13645.006623129475,12292.80625485962,224.41610951829898,224.41610951829898,0.03860026738722326,0.04791408710345245
4,12820.253629184743,11015.38532647262,253.84835668355754,253.84835668355754,-0.027619226171706528,0.026131261757384602
5,12507.004705260886,10249.468468106494,401.9483500268907,401.9483500268916,-0.029822804482941,0.005463925678843788
