num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,mse_mean,mse_std,reconstruction_error_mean,reconstruction_error_std
2.0,0.0003682270002173027,0.00018858481940991085,0.00011282720006420278,2.7005333278855068e-05,0.8277281112530155,0.044680812494713604,1508.4981933892132,418.5582914543658
3.0,0.0003281649998825742,6.76852665729205e-05,8.835980042931624e-05,6.389124256684878e-06,0.7480062437916845,0.07396936054956557,1686.8381946643524,218.11170994830474
4.0,0.0003785383996728342,0.0001208250114974169,0.00011756639978557359,2.646393170284489e-05,0.7207322264793529,0.04441066815969254,1448.7167979854498,271.04063642197326
5.0,0.0003115021998382872,5.0286432591948136e-05,9.39867997658439e-05,1.0792964437488805e-05,0.6995317156236696,0.02391643747995461,1134.0090712498127,494.31060723412503
6.0,0.0002990267996210605,2.1076690347529792e-05,9.051380075106863e-05,3.5002106848309446e-06,0.7229459344401873,0.06944229128883357,1034.5144277335685,602.1228844580962
7.0,0.00033665440023469275,5.243213218377998e-05,9.955880050256382e-05,1.2245935340834921e-05,0.7400312189584219,0.042425083534593046,685.8137361000565,209.58423021346402
8.0,0.0015799752000020817,0.0010590919478973963,0.00022998099993856158,0.00013297030138757575,0.7475521498510004,0.04148318476481369,516.747979971381,388.04402957315557
9.0,0.0009338605999801075,0.00043463554414477915,0.0001605377998203039,3.400692984046228e-05,0.7267489711934155,0.060580670010018746,302.8505343500832,322.0148092454918
10.0,0.0018142461998650107,0.0019237981998237697,0.00014860380033496768,3.051024386317879e-05,0.7106002554278417,0.037800039147617905,393.301753064993,278.8408828621177
11.0,0.0010975682005664566,0.0004656027359583726,0.00014167859990266152,9.413722023967705e-06,0.69530296580105,0.04457815535225136,2.968366018710914e-25,4.925820763427416e-25
