num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,calinski_harabasz_score_mean,calinski_harabasz_score_std,davies_bouldin_score_mean,davies_bouldin_score_std,adjusted_rand_score_mean,adjusted_rand_score_std,adjusted_mutual_info_score_mean,adjusted_mutual_info_score_std,homogeneity_score_mean,homogeneity_score_std,completeness_score_mean,completeness_score_std,silhouette_score_mean,silhouette_score_std,inertia_mean,inertia_std
2,1.4192245979997096,0.2821332333597495,0.004218397801741958,0.003450586590428692,1162.745994079767,87.7832065899056,0.7026759192678561,0.005495895836659381,0.013793422982461612,0.003642744448774153,0.021777801703575662,0.002715458655292678,0.019405328135187673,0.002238522013291338,0.036498653650493505,0.00454138869457461,0.5039053276163752,0.003291314517860004,2666429.71187828,81861.12640760932
4,2.391902476400719,0.3390667425930918,0.0051526626019040124,0.0027673124816201774,1039.6189141680366,128.45712507852676,0.8457638415457052,0.009718318821413992,0.010083840321231038,0.002288198891577271,0.023808487219603075,0.0030693025682996936,0.03210036607042475,0.003352422966358713,0.030931852661424026,0.003683068631068013,0.37143411935806303,0.006153924019183314,1339518.7813095665,65804.55172721304
6,3.3255217068013736,0.6472956133440843,0.005471281599602662,0.003031103661745198,898.4648384949587,113.51466544229288,0.9776817840630876,0.009157860211597705,0.010468084809619173,0.0016626703634231648,0.02574510982034082,0.002472997273105336,0.042622769523184535,0.0027330754488718505,0.03232363688045836,0.0022431057384928645,0.3079193711094158,0.005299822440498239,999287.9774325978,54559.12595370408
8,3.3717022388009354,0.2797135781394878,0.004543996800202876,0.002420486418776993,847.0067856518266,137.7114939848582,0.9851085215921014,0.01468913340054043,0.009732183542351438,0.0019775210527038316,0.0269484102485112,0.003997674121825373,0.04883994265738144,0.0037673563529879764,0.03344805807133901,0.003417632881525273,0.30682337368277357,0.010055503980829364,795072.9030190749,45080.70023364513
10,4.0070150674000615,0.40930667769985807,0.007423726600245572,0.0030109977617962273,788.2357777036739,145.3873726330258,0.9849495518735166,0.022701713028201304,0.010833921890209186,0.003984082100767337,0.031542747810516615,0.005010464432956458,0.06260062418802494,0.005908085066056946,0.03741719527878829,0.0041990297471233996,0.2948819795244956,0.010670737368847575,656531.6636733238,33586.35490343687
12,3.8884419673966475,0.4471720201950625,0.004607491195201874,0.0021842715436515914,762.7557979384432,153.91701250897134,0.982652571068007,0.012660146430644616,0.009378244774566656,0.0030569122573665436,0.03203685291919625,0.004883429452386257,0.06807024955696613,0.005703310289896972,0.038429590118733745,0.0037736413112265796,0.28698885815253594,0.01210605434094241,563048.5063741276,25213.03531224942
14,3.327369237400126,0.4754758042186054,0.005446453799959272,0.002904324822051552,707.7636307572508,145.44486497894158,0.9836737756340319,0.013944929766356735,0.01002748621018097,0.0024882741213803333,0.03422369538323442,0.0045604176952298734,0.07742278379221165,0.004876391206088865,0.04120041286091293,0.0035902873146430626,0.2779085484587139,0.014264998466758732,493465.87887520884,21068.314027183176
16,3.831375147603103,0.3086903304811029,0.007354254196980037,0.004009492758504352,683.0282498812801,147.54443572911543,0.9769309437804541,0.04246003766431311,0.00783367524089781,0.00240936743618997,0.031727877429676,0.003789331226734041,0.07988692269014605,0.005104649485607367,0.04036746329676562,0.0030077875053028938,0.26871440398566077,0.010364180580985852,440467.6581663983,15685.139362904229
18,4.132350751402555,0.40601385064961,0.0041989084013039244,0.0028534833343138596,702.6029139643297,88.06191955875202,0.969860044822464,0.026076383638493458,0.007312877374999205,0.0013771742794685816,0.03053582833590362,0.006035756776944017,0.084307691008666,0.008309999950934878,0.04048678923446097,0.004642086255117759,0.2708145988655165,0.007154185138967356,399053.9466033603,10862.268513031207
20,3.6785673838021467,0.36163720653517284,0.0053173023974522945,0.003137183631536487,650.4240961776416,118.35182245446065,0.9791322651885415,0.02988704561502715,0.005911909138443976,0.0007369508574007325,0.029339847974222854,0.0046683284323173965,0.08796149322094712,0.006342676814803982,0.04077058979871754,0.0037332243479811416,0.2605712572424531,0.007981630923787904,363150.4415728153,9581.472201988758
25,4.277280729202903,0.5031723365672173,0.004630197197548114,0.0015714959906186266,627.0808321047914,86.42185543178526,0.9852737961681367,0.030850042473789783,0.00550760215566323,0.0014538848897847152,0.0301711766131617,0.003254073401075992,0.10240518950815558,0.0049525170337094675,0.043789004876233065,0.002765475730146824,0.255768352647784,0.00780471675317596,301337.3758106075,7260.369593208002
30,3.944575544001418,0.46635822482486405,0.008195343799889088,0.009403454378940284,602.55456910951,103.26429371001288,0.9989217867502308,0.029663522308601826,0.004570965036268034,0.0016788237969337402,0.030941358408707154,0.008123272931313479,0.11553277325671803,0.012927231161324862,0.04674124676290743,0.005705749306813506,0.24773178292770587,0.0039043836087195014,260868.80457240832,4892.865886531362
40,4.062853752198862,0.11010302846650045,0.0048485531966434795,0.003588270423765253,534.7000719097057,109.38432645367078,1.046733956537057,0.01958429443885417,0.004043350375158726,0.0011634521149941578,0.0295036496837215,0.003083962899479689,0.13631127513717464,0.004715528585870399,0.05035069744117371,0.002359634602255389,0.23030869686495628,0.009847622833587458,209632.9481975109,3480.5296642744825
50,4.4311153822025515,0.5258322615535633,0.00567182139493525,0.0031693329441163107,500.5848748163984,101.45938816896698,1.050190197341316,0.015951346678449965,0.004001406040664422,0.0011748253322411539,0.032787606689585545,0.008212600340236464,0.16149670265213897,0.014888113360110481,0.056514975432257905,0.005978081652111266,0.22122139571010976,0.0029631455068757796,175306.0594122637,3094.8025095607427
75,3.8993295690044762,0.42781921195675,0.004323278600350022,0.0019591863710498136,476.42246864097126,54.62093370643898,1.038740865310008,0.035610272061503585,0.0031464492363602985,0.0009559349749233943,0.030213308741084945,0.005259066488919751,0.2050478033394935,0.009909044651866457,0.06459026232275542,0.0038203670825974305,0.21060770419741598,0.007790424105012095,127084.85450435251,1623.8073757160155
100,2.23684860499925,1.0114952177370946,0.005229314198368229,0.0042451618887277935,407.15908468098405,117.81929455516305,1.0380169274577118,0.022390130921016615,0.0025588580031225645,0.0007033519139693966,0.03116147374707512,0.008052350298345758,0.25026797471572315,0.017706050725653327,0.07382550706532827,0.005839448409030855,0.20163418572408737,0.009179178771145751,101049.72480225228,1571.5045285389315
150,0.8903264874010347,0.022606995580452746,0.0007345607969909907,0.00015457780654502262,362.28870536423847,118.71263116739084,1.0141392004756975,0.0354885456253424,0.0020589828293615703,0.0005147038359546493,0.028164842338476666,0.005352577946824035,0.3195748623347834,0.012337357317391884,0.0866297973991728,0.0035097903038524042,0.1943147159444597,0.007059145726616164,71895.19827748356,721.7684401012219
195,0.9129256400017767,0.027392116378561204,0.0007732302008662372,4.474871139080076e-05,341.6784453307219,124.83526380319869,0.961339661811229,0.013976994513942145,0.0014627857830652108,0.0005911256237435235,0.02388695939882325,0.008385655793147453,0.3648987247228571,0.016531401391108414,0.09464546661729956,0.004856416830524382,0.1797696621908243,0.012046457142126253,57252.02771916435,672.1398019408568
