training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,reconstruction_error_mean,reconstruction_error_std,num_components
0.0012046582000003,0.0002662796203515,0.0516024000000001,0.0309544421301107,0.0958844081366182,0.0007087732846163,2.0
0.0009956082000002,0.0001526390830835,0.0376910582,0.017400295764507,0.0958688225913571,0.0011279826885592,3.0
0.0018871833999995,0.0013106328249559,0.0861815248000002,0.0450852909100171,0.0957756857462269,0.0007844237584806,4.0
0.0011020668,0.0002056852057262,0.0973112834000002,0.0483452690721213,0.0950063298852204,0.0012905239531508,5.0
0.0010698665999996,0.0001464267755543,0.0734670999999998,0.0279871242950245,0.0947573407380925,0.0006227561628545,6.0
0.0013515084000005,0.000609259167062,0.0807367999999996,0.025350500824235,0.0942097438935982,0.0005891615991078,7.0
0.0011134832000003,0.0001756792672153,0.0840475997999995,0.0292993569276009,0.0929410080577804,0.000923956289194,8.0
0.0010483336,0.0001628706691762,0.0508597082000001,0.0104211640954113,0.0925768403086838,0.0019300898286158,9.0
0.002136775200001,0.0014126227179198,0.1403537082000006,0.0319956484369923,0.0929950766344592,0.0016769978916802,10.0
0.0020433747999994,0.0013717679534579,0.1390899836000002,0.0697239238355226,0.0918703547667429,0.0003844591370787,11.0
0.0016002415999999,0.0008889262748913,0.1804462248,0.0165879973271267,0.091611064466809,0.0017936807779284,12.0
0.0070522666000002,0.0111379501779702,0.1369325418000002,0.0417926881943261,0.0910493746722166,0.0010298229206,13.0
0.0014774335999995,0.0009005522071542,0.1522081167999999,0.0466950355762324,0.0902886200305677,0.0016519487351975,14.0
0.0070319250000011,0.0074774560880349,0.1531099833999988,0.0357094112968106,0.0896022794765237,0.0017216708079092,15.0
0.002221066600002,0.0023274004920378,0.1352136330000021,0.0389030340023457,0.0906178038458018,0.0012868567666512,16.0
0.0027232081999983,0.003408830717204,0.1964065247999997,0.0296626097888354,0.0904771898193801,0.0016436574890086,17.0
0.0011214832000007,7.344927687301573e-05,0.087957974999999,0.02724264760509,0.0878836036274941,0.0008291660088739,18.0
0.0048700584000002,0.0076015730350613,0.0291223834000007,0.0071622356205999,0.0886475855388373,0.0009269674942358,19.0
0.0010879748000022,0.0001627974953283,0.0664313832000004,0.0455227931170395,0.0879931691304244,0.002208537746672,20.0
0.0011839250000008,0.0005556125124345,0.1823218585999981,0.0360828194393027,0.0867172382990139,0.0015983247444978,21.0
0.0011292665999988,7.39370689006834e-05,0.2405464249999994,0.0753953016758008,0.0865341452853406,0.000877201370205,22.0
0.0056434500000008,0.0084486519356799,0.1477147665999979,0.0500018243334289,0.0854430093334608,0.0020097556379706,23.0
0.002298650199998,0.0015219387373627,0.0459792497999984,0.0167897747468188,0.0849443242758622,0.0024908108298044,24.0
0.0014197836000008,0.0005185281631068,0.1131198168000011,0.0374519216034698,0.0853719535511941,0.0016685956799028,25.0
0.0010968000000005,0.000164482403178,0.1284023583999996,0.0516145225231619,0.0834886922110633,0.0022544915701044,26.0
0.0010421583999999,0.0001496404695018,0.1518752665999983,0.0623693054150792,0.0852240131456494,0.0011101981876118,27.0
0.0038562331999983,0.0054107888245148,0.0786167668000004,0.0406266322041679,0.0839874517473236,0.0013656991255466,28.0
0.0046719918000022,0.0058563139782308,0.0774575167999998,0.0757734627163032,0.0827858882928021,0.0012689859151696,29.0
0.0017100331999998,0.0007770090108629,0.171280408600002,0.0966979702801471,0.0834014894076232,0.0003836414145048,30.0
0.0010677499999999,0.0001247847460867,0.1539582002000031,0.0446224824997077,0.0826292104505048,0.0015422037451579,31.0
0.0010989330000001,0.0001510622070893,0.1623605165999976,0.0384552713929251,0.0803736897554819,0.0019143847343742,32.0
0.0076090747999984,0.0128129872651222,0.1425123415999962,0.0401756364713014,0.0806735946711767,0.001156414007436,33.0
0.0011158751999971,0.0001058618856483,0.2111569000000002,0.0724110788527868,0.0800723496115255,0.0022993702373915,34.0
0.005641866800002,0.0076153369171164,0.1950070750000009,0.0685127580180804,0.0780099090564327,0.0016708117138832,35.0
0.0012738333999976,0.0002680850041281,0.1564675999999963,0.0898217256576085,0.0784662284849168,0.0034312345732742,36.0
0.001309691800003,8.916498699012148e-05,0.1156980082000018,0.055602360768568,0.0774413197065828,0.0004055713977206,37.0
0.0011271249999992,0.0001561284998705,0.1783061833999994,0.0882545087460794,0.0770620999461564,0.0013793330414966,38.0
0.0088272497999952,0.013804950722522,0.0998180000000019,0.0468617519377746,0.0787061039038493,0.002195185682684,39.0
0.0012404167999989,0.0001278043271506,0.0948164250000047,0.0464424833065015,0.0761392111451733,0.0015069800291921,40.0
0.006273741800004,0.0102321392893304,0.167519466600001,0.0664325758906642,0.0777822178755325,0.0012196682905515,41.0
0.0024188664000007,0.0015997987081115,0.101203725000002,0.0210165006909946,0.0736177229886705,0.0021652612412688,42.0
0.003449141599998,0.0043893559877254,0.0756892334000014,0.0322433405729537,0.0755828617292133,0.0008873973033942,43.0
0.0016474583999951,0.0010838258383587,0.1636164998000026,0.0493808294026089,0.0737785626094591,0.0021825927612384,44.0
0.0063515667999979,0.0103426838603359,0.1532957167999967,0.0632770431849912,0.0741313114406951,0.0028494116311482,45.0
0.0018861332,0.0013987959067457,0.1776792665999977,0.0477178287375793,0.0736740578615016,0.0014939045244969,46.0
