training_time,evaluation_time,fold,training_curve,validation_scores
8.33768735898775,0.01225069300562609,0.0,"[0.7079757599332345, 0.2526121628314477, 0.1706881200013049, 0.13532945234929827, 0.11524373124314, 0.10254006967080241, 0.09299866489314047, 0.0860882820048723, 0.08070209138978911, 0.07629176836052555, 0.07275308140916888, 0.06963660860332767, 0.06678893651949763, 0.06438033468212698, 0.06232442493989907, 0.06050831996515464, 0.05883334768167664, 0.05739677581556643, 0.055806076273192666, 0.05486589770235109, 0.05344969942431585, 0.05269528749137261, 0.05192019380310635, 0.050595045380223067, 0.049700139141304805, 0.04877012320417026, 0.048001510449567, 0.04722340505596491, 0.046472755220153046, 0.046003477706440775, 0.045083458924780336, 0.04450208681659881, 0.04406633736358183, 0.04354180555166233, 0.042857036584019556, 0.04228568132569532, 0.04182884576718046, 0.04310728226751864, 0.04136007593851708, 0.04060118050107029, 0.040134615651958014, 0.039792221344030994, 0.03932389396117237, 0.03902617977311917, 0.038648593394755425, 0.03822563715045921, 0.03785544832704221, 0.03768030871851257, 0.03723788616522527, 0.0373685482626416, 0.03658682338435708, 0.03650920635474634, 0.03603196177314382, 0.03605514354412895, 0.035408812948339634]","[0.9449664429530201, 0.9624161073825503, 0.9671140939597316, 0.9691275167785235, 0.9731543624161074, 0.9731543624161074, 0.974496644295302, 0.974496644295302, 0.9765100671140939, 0.9758389261744966, 0.9758389261744966, 0.9778523489932885, 0.9771812080536912, 0.9791946308724833, 0.9791946308724833, 0.9791946308724833, 0.9805369127516779, 0.9805369127516779, 0.9812080536912752, 0.9812080536912752, 0.9818791946308725, 0.9825503355704698, 0.9825503355704698, 0.9832214765100671, 0.9832214765100671, 0.9832214765100671, 0.9845637583892617, 0.9845637583892617, 0.9832214765100671, 0.9832214765100671, 0.9845637583892617, 0.9859060402684564, 0.9859060402684564, 0.9845637583892617, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9865771812080537, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.9859060402684564, 0.9879194630872483, 0.9865771812080537, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.9859060402684564, 0.9879194630872483, 0.9859060402684564, 0.9879194630872483, 0.9879194630872483, 0.9865771812080537, 0.987248322147651]"
7.0872670900134835,0.027030874000047334,1.0,"[0.6265467340264834, 0.22672183309403046, 0.15722102733985838, 0.12612338658689062, 0.1088052632859003, 0.09741761150469228, 0.08896803789185313, 0.08291012780359476, 0.07783505950496533, 0.07396547560926163, 0.07067631355107162, 0.0678373201630567, 0.0654470485556477, 0.06328809694983409, 0.06141583725785004, 0.05973453455885707, 0.05830001547909319, 0.05724325883962657, 0.05566350022010034, 0.05465874415748554, 0.0533439686095893, 0.05235209495900731, 0.05127127157216839, 0.05039036427580812, 0.04953602955269812, 0.04892491885705696, 0.04817011599672334, 0.047384892993460256, 0.04658388549713179, 0.04580504432841144, 0.04550337412442544, 0.04506475560929518, 0.04436094180241973, 0.043893911636594216, 0.043216958057546745, 0.042609501485785635, 0.04213189628386679, 0.041804182618114395, 0.04154062521401937, 0.04170620708247526, 0.040437362562727744, 0.04038077770106374, 0.04043034238511282, 0.039241533334999565, 0.03958256227828801, 0.03879434222875866, 0.03858937191254317, 0.037994539973137134]","[0.951006711409396, 0.9590604026845637, 0.9630872483221476, 0.9677852348993289, 0.9684563758389262, 0.9704697986577181, 0.9724832214765101, 0.9751677852348993, 0.974496644295302, 0.9778523489932885, 0.9791946308724833, 0.9791946308724833, 0.9778523489932885, 0.9805369127516779, 0.9805369127516779, 0.9812080536912752, 0.9812080536912752, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9825503355704698, 0.9825503355704698, 0.9838926174496644, 0.9818791946308725, 0.9845637583892617, 0.9832214765100671, 0.9852348993288591, 0.9838926174496644, 0.9832214765100671, 0.9852348993288591, 0.9845637583892617, 0.9845637583892617, 0.9852348993288591, 0.9852348993288591, 0.9865771812080537, 0.9852348993288591, 0.9832214765100671, 0.9845637583892617, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9859060402684564, 0.9859060402684564]"
8.064642626006389,0.015899860998615623,2.0,"[0.8886416502826249, 0.30431671757116685, 0.19916957315107564, 0.15529853281374048, 0.13079967312132482, 0.11511820227695345, 0.10419026843314641, 0.0960250552080746, 0.08992649199826366, 0.08543077034755393, 0.08034309643210624, 0.07718383875689809, 0.07391984447660868, 0.07121207616647753, 0.06895020675451283, 0.06690934351142043, 0.06487047599416329, 0.0632763555474736, 0.06209865187473321, 0.060329837709766465, 0.05907629372036121, 0.05796799167831593, 0.05673474073478821, 0.05592168362221685, 0.05477976773595806, 0.05410887171222467, 0.05287099368473772, 0.05212961265571866, 0.05127101460676608, 0.05071761428592824, 0.049805917479994036, 0.04914323671313893, 0.04890703586751579, 0.04795220096879331, 0.04728866353202162, 0.046794839681021196, 0.04614385829412454, 0.04566130298616964, 0.045232652558461164, 0.044879953603476595, 0.044215171582018695, 0.043858425768744186, 0.043618281277795073, 0.04312362319439964, 0.043141932251081525, 0.04214524872234453, 0.04160339802163009, 0.04123743211297242, 0.041036157385111134, 0.040882291724625416, 0.040519588776082006, 0.04010533118207359, 0.039682785004949976]","[0.9328859060402684, 0.9523489932885906, 0.9677852348993289, 0.9697986577181208, 0.9758389261744966, 0.9771812080536912, 0.9771812080536912, 0.9771812080536912, 0.9778523489932885, 0.978523489932886, 0.9771812080536912, 0.9798657718120806, 0.9791946308724833, 0.9805369127516779, 0.9812080536912752, 0.9798657718120806, 0.9812080536912752, 0.9805369127516779, 0.9818791946308725, 0.9812080536912752, 0.9838926174496644, 0.9818791946308725, 0.9825503355704698, 0.9832214765100671, 0.9832214765100671, 0.9832214765100671, 0.9845637583892617, 0.9832214765100671, 0.9845637583892617, 0.9832214765100671, 0.9852348993288591, 0.9865771812080537, 0.9879194630872483, 0.9859060402684564, 0.9859060402684564, 0.9879194630872483, 0.9879194630872483, 0.9852348993288591, 0.9859060402684564, 0.9885906040268456, 0.9865771812080537, 0.9892617449664429, 0.9885906040268456, 0.9879194630872483, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9859060402684564, 0.9892617449664429, 0.9879194630872483, 0.9879194630872483, 0.9892617449664429]"
9.643120052001905,0.01607582700671628,3.0,"[0.637070447638562, 0.24577286866791817, 0.16873763536621167, 0.13511588539819835, 0.11547587711202434, 0.10272253521678104, 0.09381550754078274, 0.0865901013368932, 0.08172821095043381, 0.07669077256753826, 0.07321854736502906, 0.0700295041958926, 0.06728855742015329, 0.06508751128562631, 0.06322664753685191, 0.06094485903651008, 0.0593860614229758, 0.05777563694883527, 0.05631889052538787, 0.055550615986176714, 0.05379373846244431, 0.05304936861986859, 0.051585144661093235, 0.05088136592082143, 0.04988975020214868, 0.049002843864580196, 0.048263527979095874, 0.04759983010092203, 0.047643499042257204, 0.04626693218644194, 0.04553153829590873, 0.04493153944895332, 0.04447046449016265, 0.04372035085800114, 0.043206362957982636, 0.04252146827141487, 0.042598455719041535, 0.041718084298719385, 0.04130744889466072, 0.041135314652827354, 0.04019814100440978, 0.03976088897988302, 0.039499295558024755, 0.03958977320091648, 0.04011705939483406, 0.03876261566385788, 0.037899733774589335, 0.03783887144819633, 0.037703605846765124]","[0.9463087248322147, 0.9624161073825503, 0.9664429530201343, 0.9718120805369127, 0.974496644295302, 0.9751677852348993, 0.9771812080536912, 0.9751677852348993, 0.9771812080536912, 0.978523489932886, 0.978523489932886, 0.9771812080536912, 0.9798657718120806, 0.9791946308724833, 0.9791946308724833, 0.9805369127516779, 0.9805369127516779, 0.9805369127516779, 0.9805369127516779, 0.9812080536912752, 0.9805369127516779, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9825503355704698, 0.9825503355704698, 0.9812080536912752, 0.9825503355704698, 0.9825503355704698, 0.9825503355704698, 0.9825503355704698, 0.9818791946308725, 0.9825503355704698, 0.9825503355704698, 0.9838926174496644, 0.9838926174496644, 0.9845637583892617, 0.9838926174496644, 0.9832214765100671, 0.9832214765100671, 0.9838926174496644, 0.9832214765100671, 0.9845637583892617, 0.9838926174496644, 0.9838926174496644, 0.9845637583892617, 0.9838926174496644, 0.9838926174496644]"
3.14733533099934,0.02048731099057477,4.0,"[0.57672571112781, 0.235676907381262, 0.1634296781709303, 0.13089546077694222, 0.11209972108979671, 0.09984735434888509, 0.09116002540530901, 0.08495587959583414, 0.07951707333971937, 0.07538842209487806, 0.072602535342426, 0.06874122019628862, 0.06624606802633645, 0.06400608153284237, 0.06207063488698471, 0.0603696649254951, 0.058923530642874825, 0.05729813998908988, 0.05610278042144285, 0.054686772755793554, 0.05374066667516929, 0.05265016464612874, 0.05167077863710092, 0.05092832088137202, 0.04980241335815096, 0.04915514974421856, 0.04836209032742137, 0.04761521476239375, 0.046998965873210535, 0.04638797464276605, 0.04573678070314666]","[0.9496644295302014, 0.9644295302013423, 0.9731543624161074, 0.9738255033557047, 0.9751677852348993, 0.9758389261744966, 0.9771812080536912, 0.9778523489932885, 0.978523489932886, 0.9791946308724833, 0.978523489932886, 0.9791946308724833, 0.978523489932886, 0.9805369127516779, 0.9805369127516779, 0.9798657718120806, 0.978523489932886, 0.9812080536912752, 0.9805369127516779, 0.9818791946308725, 0.9798657718120806, 0.9812080536912752, 0.9812080536912752, 0.9798657718120806, 0.9798657718120806, 0.9798657718120806, 0.9805369127516779, 0.9798657718120806, 0.9798657718120806, 0.9818791946308725, 0.9812080536912752]"
