training_time,evaluation_time,fold,training_curve,validation_scores
2.1105107170005795,0.0048157069977605715,0.0,"[0.798478658411541, 0.43517762220404965, 0.29324417793790314, 0.2224119330365837, 0.18082118926438306, 0.1538152553027916, 0.1348829462513011, 0.12074392108941902, 0.10999256514904072, 0.10136121349350968, 0.09444262213410408, 0.08871001155841439, 0.08387630511427356, 0.07972079607815133, 0.07617010351701756, 0.07304842091997636, 0.07021834436942476, 0.06771797667211525, 0.0654948735093185, 0.06348764716672314, 0.06162191560309135, 0.059976160002018226, 0.05840845562856601, 0.05695282656143517, 0.055772424045138845, 0.054407974657665656, 0.053257826788159414, 0.05221825396854222, 0.05112400100542968, 0.050166588499686075, 0.04928733490849494, 0.04858359196374685, 0.04767358742427749, 0.04689830722708197, 0.04618042794655938, 0.0454734870295602, 0.0448822384818104, 0.044148511850386644, 0.04355479072150793, 0.042981293700950336, 0.042418960104441863, 0.041869954262868665, 0.04138981887159313, 0.04089059411937228, 0.04038363548459941, 0.039963777680212836, 0.03947841567913469, 0.038993883641140745, 0.0385712118630924, 0.03815509094547037]","[0.9302013422818792, 0.9590604026845637, 0.9684563758389262, 0.9718120805369127, 0.974496644295302, 0.9751677852348993, 0.9778523489932885, 0.9791946308724833, 0.9805369127516779, 0.9812080536912752, 0.9812080536912752, 0.9832214765100671, 0.9832214765100671, 0.9838926174496644, 0.9838926174496644, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375]"
1.0641033709980547,0.0038458710041595623,1.0,"[0.6788877725026489, 0.37551230898744875, 0.2585787395453397, 0.19982469322197063, 0.16430284757155725, 0.14087148805668995, 0.12432990347738267, 0.11202314974491935, 0.10242945334921826, 0.09513031661691465, 0.08886416244901828, 0.08371871584984973, 0.0793579719068013, 0.07560796012581772, 0.07236979712639809, 0.06943404714044901, 0.06688367391992452, 0.06459465781753834, 0.0625410082674622, 0.06065456175438655, 0.058976183827468824, 0.05739244846454716, 0.055934682970971754, 0.05462222110272127, 0.05339774631915294, 0.05223615295247596, 0.051174525177278024, 0.05019337436868976, 0.049182989698662735, 0.048232029959313]","[0.951006711409396, 0.9664429530201343, 0.9711409395973154, 0.9758389261744966, 0.9765100671140939, 0.9778523489932885, 0.9818791946308725, 0.9825503355704698, 0.9832214765100671, 0.9845637583892617, 0.9852348993288591, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.987248322147651, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483]"
1.473199772008229,0.0027361740067135543,2.0,"[0.8776702562443497, 0.4665675336418428, 0.30923692981998524, 0.233104050207652, 0.18891587548496883, 0.15997773725074407, 0.13962519332467693, 0.12461510600647983, 0.11317276302456356, 0.10400874901873401, 0.09654275893757142, 0.09043523944257824, 0.08528840232747338, 0.08083285300960422, 0.07697727460031659, 0.07359092733092391, 0.07055078592737937, 0.06794008901035935, 0.06555333591662192, 0.06347603154654947, 0.061526340822770725, 0.059803925453583165, 0.058166156684774, 0.05667961247965749, 0.055276151942899, 0.054000206406258806, 0.05283304080257879, 0.051739482885682565, 0.05072569633741113, 0.04975920709406867, 0.049016481902015754, 0.04791636499186459, 0.04713503167612426, 0.0463119915168286, 0.04562123788914798, 0.04491282303923973, 0.04428664993282226, 0.043619498517348664, 0.043013192884235975, 0.042377156253799966, 0.04189353899502033, 0.04160007179668561, 0.040863214239958326]","[0.9315436241610738, 0.9496644295302014, 0.9624161073825503, 0.9657718120805369, 0.9711409395973154, 0.9724832214765101, 0.974496644295302, 0.974496644295302, 0.9758389261744966, 0.978523489932886, 0.978523489932886, 0.9798657718120806, 0.9798657718120806, 0.9805369127516779, 0.9798657718120806, 0.9805369127516779, 0.9805369127516779, 0.9805369127516779, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9805369127516779, 0.9812080536912752, 0.9825503355704698, 0.9832214765100671, 0.9825503355704698, 0.9832214765100671, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644]"
2.7935149789991556,0.005199489998631179,3.0,"[0.7267635434517419, 0.3966808330850738, 0.2700583457334391, 0.20700275785877326, 0.16972278638901156, 0.14506325393570632, 0.1275239776160305, 0.11452288696133434, 0.10435868081370282, 0.09635154923948068, 0.0897862987086177, 0.08438966787792929, 0.07972720427155809, 0.07578937669304336, 0.0723253428330286, 0.06930476856034413, 0.06658886042071745, 0.06422558919919627, 0.06210850765502344, 0.0603884926761822, 0.05845527578797543, 0.056857021790101755, 0.05537276596012208, 0.054011194421886316, 0.05274140288454207, 0.051564381615684544, 0.0505308214239459, 0.04943417925034745, 0.048467222584680246, 0.0475050790194098, 0.04666394222380362, 0.045808756093346024, 0.04505637406170619, 0.04427770288565917, 0.04364882194540207, 0.04289935647469351, 0.04231449323576974, 0.0416866655790876, 0.04109969974044538, 0.0405386653678694, 0.039983415703421496, 0.03949421331253068, 0.039009946195155694, 0.03852150355713317, 0.038079004412443794, 0.03759450295533052, 0.03718328305818989, 0.03677550438409511, 0.03632165361438578, 0.035951165202032835, 0.03554140958947747, 0.03520186640425308, 0.03481242583611306, 0.03444359649900015, 0.034091225966477276, 0.03375556167673058, 0.03343900331092582, 0.03316030815968077, 0.032889119561461774, 0.0327166981515144, 0.03231666861245392, 0.032017888678622194, 0.0319556603380268, 0.031504110087832604, 0.031261191534074126, 0.031002539267951535, 0.03081946666040412, 0.03060308678013231, 0.030342952807556913, 0.030080943126383642, 0.02987171369905599, 0.029643058910214213, 0.02947132508774689, 0.029227986319075555, 0.029132496222635952, 0.02890882298292406, 0.028700963378941496, 0.028592093852638178, 0.028356431124334298, 0.028176026106163293, 0.02801429046357374]","[0.9456375838926174, 0.9604026845637584, 0.9671140939597316, 0.9704697986577181, 0.9718120805369127, 0.974496644295302, 0.9771812080536912, 0.9791946308724833, 0.9798657718120806, 0.9798657718120806, 0.9798657718120806, 0.9798657718120806, 0.9798657718120806, 0.9798657718120806, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9812080536912752, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9825503355704698, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9825503355704698, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9859060402684564, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.987248322147651, 0.9865771812080537, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.9879194630872483, 0.987248322147651, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9892617449664429, 0.9879194630872483, 0.9892617449664429, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429]"
1.6558605560130673,0.0039045890007400885,4.0,"[0.7165397726348124, 0.39029020976684414, 0.2650102983698136, 0.20273783871583134, 0.16577401614697373, 0.14142269437112118, 0.12417395748597324, 0.11143937607635199, 0.10179629223241946, 0.09394499852951911, 0.08755371361377759, 0.08223720050323308, 0.0777120047540565, 0.07392903773577848, 0.07060161516886068, 0.06776635655921717, 0.06515675350977086, 0.06289325981047544, 0.06084678595385954, 0.059020723051342115, 0.057327810892423364, 0.05592649103131569, 0.054416913795909294, 0.05312701805261497, 0.05194506156705501, 0.050816110571536996, 0.04976277636428993, 0.04881887949185678, 0.047947311043424055, 0.04704516424808096, 0.04625473753179434, 0.0454860013900275, 0.04475315896884573, 0.04407322915287724, 0.043443793707335705, 0.042794045387177494, 0.04220549394717875, 0.04163724144071181, 0.041078311726034225, 0.040663081299838595, 0.040055181803205116, 0.03955562390584788, 0.03922055260027289, 0.03869972378915027, 0.038310658441791726, 0.03788213177426157, 0.0374768239701526, 0.037144030244237326, 0.036729088526372994]","[0.9436241610738255, 0.9651006711409396, 0.9711409395973154, 0.9738255033557047, 0.9765100671140939, 0.9765100671140939, 0.9765100671140939, 0.9778523489932885, 0.9778523489932885, 0.978523489932886, 0.978523489932886, 0.9791946308724833, 0.9791946308724833, 0.9798657718120806, 0.9805369127516779, 0.9805369127516779, 0.9812080536912752, 0.9812080536912752, 0.9825503355704698, 0.9825503355704698, 0.9832214765100671, 0.9832214765100671, 0.9832214765100671, 0.9832214765100671, 0.9832214765100671, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9852348993288591, 0.9852348993288591, 0.9845637583892617, 0.9852348993288591, 0.9852348993288591, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9852348993288591, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564]"
