Dataset,Method,Num Components,Accuracy Mean,Accuracy Std,MSE Mean,MSE Std,Training Time Mean,Training Time Std,Evaluation Time Mean,Evaluation Time Std
mnist,PCA,35,0.996186895810956,0.0008559278974494,,,0.0178678833995945,0.0021857432366742,0.0040222750045359,0.0041139579555285
mnist,ICA,87,0.981,0.0068410525505948,,,2.416049983393168,0.1206552251991699,0.0015335167990997,0.0006881954025089
mnist,RP,150,0.9901960784313726,0.0010202119875135,,,0.0231953276664474,0.0047060473818671,0.0098294826669492,0.0031574601523677
mnist,LLE,35,0.9909963985594236,0.0017670589968643,,,4.9595599900003435,0.7740382049112551,0.2401701733330507,0.0529667844388527
wine_quality,PCA,4,,,0.6971477224350787,0.048976980682536,0.0003617665992351,0.0001098757160644,5.7466598809696735e-05,2.440601086361052e-06
wine_quality,ICA,11,,,0.515396622676316,0.0296803401490759,0.1677686790000734,0.0518075024981121,0.0002749870000116,6.885691873992758e-05
wine_quality,RP,11,,,0.69530296580105,0.0445781553522513,0.0010975682005664,0.0004656027359583,0.0001416785999026,9.413722023967705e-06
wine_quality,LLE,11,,,0.7135518660422874,0.0469399877997051,3.499104296199948,0.4975081619335033,0.0769412443998589,0.0037606518498398
