Method,Training Time Mean,Training Time Std,Evaluation Time Mean,Evaluation Time Std,Validation Accuracy
KMeans,4.06942333340412,0.9195416423126561,0.00197729980573054,0.0017383972329831833,0.9902013422818792
GMM,3.7955147000029683,0.7540615619650872,0.00126258339150804,0.0007183631325417032,0.9923489932885907
baseline,5.193383891595294,1.665812559191246,0.00118837499758222,0.0005482472113281496,0.9930201342281879
