num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,calinski_harabasz_score_mean,calinski_harabasz_score_std,davies_bouldin_score_mean,davies_bouldin_score_std,adjusted_rand_score_mean,adjusted_rand_score_std,adjusted_mutual_info_score_mean,adjusted_mutual_info_score_std,homogeneity_score_mean,homogeneity_score_std,completeness_score_mean,completeness_score_std,silhouette_score_mean,silhouette_score_std,inertia_mean,inertia_std
2,1.8983447875943966,0.2819209021577994,0.004186333194957115,0.0036580617000663927,147.07905443653178,3.1384838918847877,1.9726660908566545,0.022431051672701922,0.4452240942820467,0.013397333602491852,0.4931978765940771,0.016906148788357906,0.3995243727795552,0.012443274210011785,0.6475524823262029,0.025393730079988377,0.20821080722184088,0.006284167356059175,20114.293011967904,58.155419205667734
3,1.6000350402027834,0.12281205398526632,0.0025641730026109144,0.000888421609950757,122.50444439629086,3.2519712903241844,2.1598420606896207,0.04007827185465327,0.8009626906664643,0.012001487070483865,0.7574252743827979,0.010226146507375845,0.7564706531414587,0.009657600486036472,0.7598728403765325,0.010753196801349178,0.18981373714680178,0.00638145226235185,17813.431799429545,53.88612979955664
4,2.2948103728005664,0.2617886837189269,0.004273949802154675,0.0007107868430867696,101.9735225601842,3.531061861920243,1.9916866016937298,0.024735448457475797,0.676622558177208,0.012575927256583967,0.6861875807927224,0.017360132699354974,0.76901881179061,0.021280711009619608,0.621576626076333,0.014486319069520696,0.15062365152513096,0.006524420275464789,16612.251054589862,69.59329804270465
5,2.238989294000203,0.45270747103928327,0.006355322600575164,0.002113517316209301,91.36635908912464,2.655611381527069,2.0458893541698986,0.020413855304403882,0.5995924722924388,0.016369183976107458,0.6708184827409535,0.02011515051391228,0.8202451201389218,0.025598281713254133,0.5698189078278799,0.016447013154574586,0.1441703336245344,0.007116604261890149,15591.12880163924,70.22014924203458
6,1.9435520086000906,0.16574442912282852,0.005066043400438503,0.0038683977342803505,81.90937741545397,2.7258744758858886,2.342131452956944,0.04861083545325173,0.506121324358766,0.007892280231123254,0.6443918552538073,0.008007313554701323,0.8481509949753887,0.010644696220372877,0.5222754204366551,0.006365605346548895,0.1522218963387773,0.007405013322604422,14920.527720242735,72.83928330052476
7,2.463901577598881,0.23084193252580085,0.002904743401450105,0.0010427102088628596,75.57261698393373,2.447290780970258,2.2059425979772684,0.04847420237358254,0.4625690825131653,0.01110619029276648,0.6246621266650404,0.009302219193879094,0.8604012998387652,0.012496904864203604,0.4934340377282127,0.007418179221760484,0.15384763367831727,0.007507987621524282,14298.702747858852,74.0535778551165
8,2.130408246800653,0.547807694288651,0.002821153600234538,0.0015079068843344707,69.40922840773463,2.6293594898044224,2.1103794150829356,0.046502862329760655,0.4076229669629644,0.007163871768663736,0.6011635468733988,0.00641063879682846,0.8697991761486774,0.008977851872718615,0.4627936669651212,0.004943893635538818,0.12826474685177192,0.009605934631510552,13863.188471208632,81.13742485327708
9,2.472390184199321,0.24545941300011392,0.0018629807978868484,0.0006569119941341569,64.64882562166493,2.314900750735801,2.1002786647600438,0.03609186945569026,0.3755967787598675,0.009400541521539239,0.594293549423863,0.013986917596361876,0.8925688501700215,0.020070946420483182,0.4492038878583979,0.010595721220527222,0.13547635107547623,0.00936092894878709,13473.74936708128,80.36778498576918
10,2.897504859796027,0.18592553730297,0.0034075200004735962,0.0016095245592993317,60.27782481845636,1.973295353729273,2.179096393721907,0.045439978764505895,0.3480376296123872,0.008865780241085404,0.5801151627033934,0.014595561340108709,0.8972571808223616,0.021949619399245352,0.43276551692700094,0.01079345958934607,0.12930910047780322,0.008144896121524293,13147.677817600474,74.3840798004446
11,3.0057432923989835,0.4049905395801652,0.004644955199910328,0.0035279392133562466,56.541770135499725,1.77421993992059,2.171418453549954,0.039334243264795524,0.3299895531586667,0.007208881618013501,0.5701975617744663,0.011854136508157163,0.9035574024025503,0.01815426845577402,0.4210389494935892,0.008683573370473102,0.12303885033905675,0.009743374803519483,12894.263628019771,72.24718760587045
