num_components,training_time_mean,training_time_std,evaluation_time_mean,evaluation_time_std,accuracy_mean,accuracy_std
1.0,0.05383998320030514,0.05508730901393434,0.0010521082032937557,0.000861091514491656,0.8612781954887219,0.003449728647207663
2.0,0.02945355820120312,0.005360626324152147,0.000846183198154904,0.00032359555374786276,0.9341031149301827,0.003247307509738133
3.0,0.030928166798548772,0.02727487472345458,0.0007083335978677497,0.00011299558559410547,0.9592910848549947,0.002606801525136778
4.0,0.028816841598018072,0.009503554679851475,0.0007354417990427464,0.00015378088758471054,0.9707303974221266,0.0018681554383379155
5.0,0.03133416640339419,0.02157340721081193,0.0023529002006398513,0.0025639415539398364,0.9802900107411385,0.0016778194792495895
10.0,0.02147811660252046,0.0022690709161000623,0.0013800662040011958,0.0009879214048449715,0.9916756176154673,0.0016200970063370847
15.0,0.03191908360167872,0.012023240781877043,0.0025505832018097863,0.0014199512359252076,0.994575725026853,0.0008726142217654194
20.0,0.02827859180106316,0.01718400562855662,0.0034335083997575565,0.004007366570072888,0.9950053705692804,0.0007124865285403689
25.0,0.02297755840118043,0.010118540942963689,0.0017500247980933637,0.0004993289710014181,0.9955424274973147,0.0009394659336485221
30.0,0.021888749999925496,0.003419311775432565,0.005259566797758452,0.002605880164085852,0.996079484425349,0.0004980461060953386
35.0,0.017867883399594574,0.002185743236674283,0.004022275004535914,0.004113957955528504,0.9961868958109559,0.0008559278974494609
40.0,0.02192081679822877,0.007405359972198938,0.009103316804976202,0.014184947460905543,0.9961868958109559,0.0008889873983483646
45.0,0.0341509666031925,0.006227123238557044,0.00214117479918059,0.0003639622431207036,0.995810955961332,0.0007893092619065122
50.0,0.042101691802963616,0.015620941112916302,0.003328299999702722,0.0013743983451047757,0.995810955961332,0.0009546932779071458
55.0,0.128050541394623,0.1668236073003312,0.013094416799140163,0.008327765446553748,0.9956498388829216,0.0008389097396247894
60.0,0.045243858205503786,0.009478075715222543,0.008884091395884752,0.0031615848106676136,0.995703544575725,0.0007002365633944712
65.0,0.047827999803121204,0.011256594560742024,0.006036774793756194,0.0016971360745487154,0.995703544575725,0.0008320050152969869
70.0,0.07255441660236102,0.031022431730522684,0.007283441402250901,0.007624579608540832,0.9955961331901181,0.0009546932779071671
75.0,0.03872177499870304,0.006270315084867403,0.005441183398943394,0.0035237547265217495,0.9954887218045112,0.0009815073513693494
80.0,0.03577485019050073,0.013003122590640714,0.010451933596050367,0.004595117164442773,0.9954887218045114,0.0010927491916957978
85.0,0.03984645019518211,0.017269603264860125,0.008003908599494024,0.003425523134679016,0.9953813104189043,0.0010246393140890971
90.0,0.04850554979930166,0.010885446870036963,0.00887545000296086,0.003463236567383663,0.9952738990332974,0.0010551494470670652
95.0,0.049496783403446896,0.009860579398561284,0.01348010820511263,0.007018534449522087,0.9951664876476907,0.001139269787088962
100.0,0.046531408399459906,0.012830582318958669,0.00686405019951053,0.004292310746796449,0.9952201933404942,0.0010927491916958097
