training_time,evaluation_time,fold,training_curve,validation_scores
4.06910768400121,0.022255599000345683,0.0,"[1.1033233762876833, 1.0827307579652836, 1.0675923356732635, 1.049120013734159, 1.025640973476494, 0.9974916174641052, 0.963620157486699, 0.9248802486458592, 0.8817493783276589, 0.8350324023992387, 0.7852250766742583, 0.7312534774670059, 0.6771482690372337, 0.6240074757287345, 0.5729278637983805, 0.5242950785927163, 0.47861240825130164, 0.4362028850364499, 0.39729933414404434, 0.3616610028834253, 0.3291390127762315, 0.30018111947176873, 0.27381600353561414, 0.25034776134487335, 0.2292899389223583, 0.21063729655304053, 0.19389755663224542, 0.17896947543097327, 0.16574128244584868, 0.15385425607517514, 0.14329887417718126, 0.1339098322314804, 0.12554637391639553, 0.11804153693780245, 0.11122984694649352, 0.10517590280146909, 0.09978860173312905, 0.09482494691538608, 0.0903055938601516, 0.08625670640291062, 0.0825280582346484, 0.07916271651536713, 0.07606507857707936, 0.07332412606918774, 0.07072429172305753, 0.06834003467574361]","[0.38456375838926177, 0.34496644295302015, 0.3503355704697987, 0.4651006711409396, 0.8402684563758389, 0.889261744966443, 0.9, 0.9087248322147651, 0.9228187919463087, 0.938255033557047, 0.9375838926174497, 0.9496644295302014, 0.9489932885906041, 0.9610738255033557, 0.9604026845637584, 0.9677852348993289, 0.9718120805369127, 0.9758389261744966, 0.978523489932886, 0.9818791946308725, 0.9825503355704698, 0.9845637583892617, 0.9859060402684564, 0.9865771812080537, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.987248322147651, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429]"
4.799400821000745,0.019604858996899566,1.0,"[1.094657119443989, 1.076891576429746, 1.0590075071336267, 1.0335642738570425, 1.0033435854511783, 0.9669975909945437, 0.9251714670673744, 0.8780211629154757, 0.826846371402327, 0.7731089296494511, 0.7178522780445138, 0.6616759996749997, 0.6063588631372824, 0.5527121058415806, 0.5013080273742341, 0.4530684647002617, 0.408546482321285, 0.3679971174933007, 0.3314213284439754, 0.29878203755618954, 0.26980997519269734, 0.24425461844079857, 0.22198487680369788, 0.20208766440108142, 0.18502981398337923, 0.16978446740729747, 0.15652837576757248, 0.1449320200206035, 0.13461171492836618, 0.12554977354576924, 0.1175062291494395, 0.11042866709771483, 0.10403084380324776, 0.0982595315761236, 0.09325776124221155, 0.08871216803737718, 0.08471878484512746, 0.08089582329903046, 0.07742666291367264, 0.07437286503522537, 0.07169399012516108, 0.06904067162752094, 0.06663896923973002, 0.06455774451046117, 0.06254313718214337, 0.060795412390530955, 0.05909055921445121, 0.05763797874476328, 0.05610891029288235, 0.05482261261274781, 0.05366839445585705, 0.05246014929179618, 0.051477886642868446, 0.050477620122531465, 0.04954861847319106, 0.04864272526486692, 0.04792658902270154, 0.047617517238183686, 0.04664279216518684, 0.04625408677640579]","[0.34630872483221475, 0.34630872483221475, 0.387248322147651, 0.6033557046979866, 0.8778523489932886, 0.9087248322147651, 0.9691275167785235, 0.9644295302013423, 0.9684563758389262, 0.9677852348993289, 0.9691275167785235, 0.9711409395973154, 0.9711409395973154, 0.974496644295302, 0.9765100671140939, 0.9791946308724833, 0.9798657718120806, 0.9798657718120806, 0.9812080536912752, 0.9825503355704698, 0.9825503355704698, 0.9825503355704698, 0.9825503355704698, 0.9845637583892617, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9838926174496644, 0.9852348993288591, 0.9838926174496644, 0.9852348993288591, 0.9845637583892617, 0.9838926174496644, 0.9852348993288591, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9852348993288591, 0.9865771812080537, 0.9865771812080537, 0.9859060402684564, 0.9852348993288591, 0.9859060402684564, 0.987248322147651, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.987248322147651]"
2.42069188700043,0.0024988959994516335,2.0,"[1.1089236310085635, 1.083617679368351, 1.0720745120656634, 1.0574168616804809, 1.0387626871005637, 1.0154012568294735, 0.9869551159359728, 0.9535237451271499, 0.9154664876739957, 0.8739571987884296, 0.828660615344561, 0.7816443399348442, 0.7327922565505166, 0.6836470417724904, 0.63448257323169, 0.5861885952558079, 0.5396613420481824, 0.49478682711068356, 0.45262657223252123, 0.41287197226740235, 0.37638803664905895, 0.342806433474627, 0.3123202601884809, 0.28461168808033793, 0.25984797289169687, 0.23765020833869216, 0.21789230379105212, 0.20057892495553456, 0.18467724584687487, 0.1706817519031634, 0.1582716064433871, 0.1471792983506776, 0.13730151768900922, 0.12859179301519488, 0.12062691975474155, 0.11353052622203393, 0.10714523127816086, 0.10130726274307361, 0.09607381176796274, 0.09136532151496285, 0.08702418549578665, 0.08302642802679236]","[0.36845637583892615, 0.3832214765100671, 0.3785234899328859, 0.4214765100671141, 0.5134228187919463, 0.6496644295302013, 0.8335570469798658, 0.9261744966442953, 0.9557046979865772, 0.9630872483221476, 0.9711409395973154, 0.9664429530201343, 0.9691275167785235, 0.9724832214765101, 0.9738255033557047, 0.9751677852348993, 0.9758389261744966, 0.9778523489932885, 0.9791946308724833, 0.9845637583892617, 0.9838926174496644, 0.987248322147651, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.987248322147651, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9885906040268456, 0.9879194630872483, 0.9885906040268456, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483, 0.9879194630872483]"
1.7202904320001835,0.0025175100017804652,3.0,"[1.141968240011114, 1.0831184662163693, 1.0617539203640811, 1.0402666907445515, 1.013179731330808, 0.9789610353487036, 0.9381831592528436, 0.8916570341529888, 0.839909687360112, 0.7848602420267757, 0.7276983493611112, 0.6698500225316263, 0.6129982610299942, 0.5577949248799603, 0.5051993035734045, 0.45597038539691387, 0.410375896817936, 0.36870108669882823, 0.331311505506067, 0.2978789643538781, 0.26831130559756855, 0.24226082996357298, 0.21964873303438692, 0.1998509347768571, 0.18234376752842513, 0.1672183209591843, 0.15402579712400158, 0.14251117833436747, 0.1321744626005831, 0.12323912268966974, 0.11519475560405852, 0.10825842869231896, 0.1019913119733175, 0.09637107400977502, 0.09138844776765706, 0.0869136724091733, 0.08287913009059049, 0.07920547605983522, 0.0759485281230732, 0.07291496924461911, 0.07021842871428348, 0.06764453949494671, 0.06543146421138152, 0.0633322872441103, 0.06139762631366721, 0.059568124785321204]","[0.3389261744966443, 0.3496644295302013, 0.361744966442953, 0.4785234899328859, 0.6342281879194631, 0.9181208053691275, 0.9295302013422819, 0.934228187919463, 0.9456375838926174, 0.9664429530201343, 0.9738255033557047, 0.9765100671140939, 0.9791946308724833, 0.9791946308724833, 0.9818791946308725, 0.9832214765100671, 0.9832214765100671, 0.9845637583892617, 0.987248322147651, 0.987248322147651, 0.9879194630872483, 0.9885906040268456, 0.9879194630872483, 0.9892617449664429, 0.9879194630872483, 0.9885906040268456, 0.9879194630872483, 0.9892617449664429, 0.9885906040268456, 0.9892617449664429, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9899328859060402, 0.9892617449664429, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375]"
1.1383421489990724,0.0025541789982526097,4.0,"[1.1396061139146942, 1.0779255791869913, 1.0574716546224903, 1.03487608043507, 1.0072937334562244, 0.9745884641286708, 0.936227191769501, 0.8935948392295975, 0.8464584139268544, 0.7963598082473275, 0.7442917683065686, 0.6906015467634367, 0.6373707100041262, 0.5848062886600939, 0.5339647877376892, 0.48583499414968107, 0.4406710929648692, 0.39890287929849466, 0.3607874318212643, 0.32611932349630596, 0.2951595900864869, 0.2675345164666247, 0.24329223170590636, 0.22151023570531472, 0.2027310154520704, 0.18597301691910476, 0.1711795150604921, 0.15833812577286563, 0.14691447429120552, 0.13688260019312468, 0.12787344380735238, 0.11994058880941283]","[0.35906040268456374, 0.3597315436241611, 0.3604026845637584, 0.6644295302013423, 0.8147651006711409, 0.9523489932885906, 0.9738255033557047, 0.9758389261744966, 0.9758389261744966, 0.9771812080536912, 0.9791946308724833, 0.978523489932886, 0.9791946308724833, 0.9791946308724833, 0.9805369127516779, 0.9812080536912752, 0.9832214765100671, 0.9838926174496644, 0.9852348993288591, 0.9852348993288591, 0.9859060402684564, 0.9852348993288591, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591, 0.9852348993288591]"
