training_time,evaluation_time,fold,training_curve,validation_scores,test_accuracy
5.5856642089929665,0.0012795410002581775,0.0,"[0.8418053108090046, 0.325112301208746, 0.17619728261018835, 0.1234982967545531, 0.09811632137189377, 0.0832314959328469, 0.0735200599588623, 0.06661772555855942, 0.06148121963671266, 0.058321195051991064, 0.05413686679068034, 0.051517362763435756, 0.04905360830442532, 0.04701275591102927, 0.044914198487588104, 0.04315143131557515, 0.0415021971881258, 0.04006523374900496, 0.03872970888558988, 0.0374629949641744, 0.03632255324091174, 0.03534347966108564, 0.035054601375237075, 0.03320175311127811, 0.03229273376705368, 0.031241303065171398, 0.030488591247294094, 0.02972083198407194, 0.028871712636140755, 0.028406192922562152, 0.02755308057994449, 0.026924352235301315, 0.026727195199321124, 0.02573965706743475, 0.02539412498855345, 0.0246224182453634, 0.02392648027298486, 0.02345222874433656, 0.02299990053347238, 0.02250628558513876, 0.022003324328308756, 0.021336881780868396, 0.020859435892723904, 0.02054877291088167, 0.01998186874620754, 0.019546944640851886, 0.020929752886439137, 0.018566004178930725, 0.018504093287262328, 0.01783130081305779, 0.017413425958467482, 0.01702567617291186, 0.01689116402587409, 0.016445686474073712, 0.01613900607802652, 0.015766922129985483, 0.015384850828795796, 0.015267867561915961, 0.014869266770551039, 0.014666587814542246, 0.014433959442060277, 0.014130565187296301, 0.01384505585139566, 0.01366294597727827, 0.013405360271809552, 0.013398622280335436, 0.012811377973839865, 0.012758392843411313, 0.012418759264142145, 0.012096894339548745, 0.012144216078343956, 0.011764579517668787, 0.011663681382222877, 0.011266793553987306, 0.01137764880849455, 0.011088554166972998, 0.010986893395392501, 0.010657948652090084, 0.010390991646226647, 0.01020357626907303, 0.009914191307143948, 0.00989176879741689, 0.009828802641008992, 0.009598371020369987, 0.00985182648174586, 0.00945423954527655, 0.00929752498016985, 0.008996112800089898, 0.008869661517200212, 0.008804313679236436, 0.008557010088494242, 0.008375208223242565, 0.00824983128394313, 0.008122997967588877, 0.008078568333057949, 0.007981244790888405, 0.00766514125083395, 0.007491936356744185, 0.00743350549224306, 0.007450120233049086, 0.007248963478332696, 0.00710523322469074, 0.007056845960957718, 0.00795502339473789, 0.006826458911299041, 0.006595358284794575, 0.00640944406095412, 0.006362666729522352, 0.00631899304400429, 0.0063263474170131865, 0.006129646597458488, 0.005947510401845307, 0.006075092035420377, 0.005881131138973433, 0.00572892503136707, 0.005707649817756562, 0.005594269707907543, 0.005580089898029069, 0.005546107714668409, 0.005312793011186704, 0.0053546864132592974, 0.005156623985149321, 0.005149890671525591, 0.005131328536571196, 0.004996442295238634, 0.005052664818707607, 0.004784584036202731, 0.0048780353437505196, 0.004708018276911993, 0.004702423679445267, 0.004638996426285012, 0.004523743457470849, 0.0044300715769962145, 0.0046651039780271015, 0.004326753691040607, 0.00423288095590061, 0.004153593816370258, 0.004099001888564856, 0.004727974689897515, 0.003985728059807252, 0.0039647692904321505, 0.003852919652326234, 0.0037713474376883474, 0.003818404339560045, 0.0036478676009752543, 0.0036587799960406905, 0.00358584773088584, 0.003535723594580442, 0.0037143146216576757, 0.0036652801962390132, 0.0033723287874001494, 0.0034495874359951107, 0.0033292099180868596, 0.0034868950933164226, 0.003224886019418279, 0.0031622595513053748, 0.0030618622410566758, 0.003097246919590033, 0.0030043587643518396, 0.002940499061852041]","[0.9208053691275168, 0.961744966442953, 0.974496644295302, 0.9771812080536912, 0.9778523489932885, 0.978523489932886, 0.9805369127516779, 0.9812080536912752, 0.9818791946308725, 0.9832214765100671, 0.9838926174496644, 0.9838926174496644, 0.9845637583892617, 0.9832214765100671, 0.9838926174496644, 0.9845637583892617, 0.9845637583892617, 0.9838926174496644, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9859060402684564, 0.9879194630872483, 0.987248322147651, 0.987248322147651, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9892617449664429, 0.9892617449664429, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9899328859060402, 0.9892617449664429, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9899328859060402, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.9899328859060402, 0.991275167785235, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9899328859060402, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9899328859060402, 0.9899328859060402, 0.991275167785235, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9899328859060402, 0.9899328859060402, 0.9919463087248322, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.991275167785235, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9906040268456375]",0.9930182599355531
3.8594904580095317,0.0009155000007012859,1.0,"[0.7277523437054949, 0.31702621289930083, 0.17434129402146978, 0.12120512264098206, 0.09582377480167308, 0.08118779952646475, 0.07152661411921943, 0.0638979829648465, 0.05853554635644993, 0.054830722363662335, 0.050732471773004384, 0.04798912706399798, 0.04569700085471808, 0.04362979012711022, 0.041983448834977, 0.0408136398538448, 0.03917008498836305, 0.0378527691322878, 0.03671859620610745, 0.03598526630994929, 0.03503223317629626, 0.033932919093818646, 0.033300242162661225, 0.032227235769897, 0.031574823037236154, 0.030955102712799786, 0.030121121935408956, 0.02959844625891634, 0.028718497463533454, 0.028173905163664487, 0.02771261713341737, 0.027129293055869162, 0.02768092205100824, 0.025809749285203833, 0.025276354180948313, 0.02462576711836585, 0.02419012360853458, 0.024190401273387608, 0.023124623520297403, 0.022631334532371906, 0.022817198407435964, 0.022097992388510512, 0.02126565694146068, 0.020808428859394275, 0.020245493657366564, 0.019933816881996972, 0.019501996548430545, 0.01966256713884715, 0.01878964978934403, 0.018461439104671983, 0.01806289932095164, 0.017901101328567648, 0.017292569353226945, 0.01682618262368829, 0.016678346911341072, 0.016402283871497007, 0.01597885267163443, 0.015791900539323184, 0.015403838205336015, 0.015322319441798456, 0.016283506009942387, 0.014885604067490043, 0.014247850393628646, 0.014206210256492642, 0.014047950180720829, 0.013618625977232969, 0.013335915326419609, 0.013236499759589446, 0.012976883877484573, 0.01270488990441701, 0.012443962409601007, 0.01237771266398318, 0.012022182069512563, 0.011861327126689265, 0.011636055851739862, 0.011513014575424304, 0.01123348824311773, 0.01085791380203349, 0.010784916673243357, 0.010591682012076137, 0.01038316766089882, 0.010376294571290976, 0.010035898750277591, 0.009923727670216423, 0.009844622460511517, 0.009755645415545943, 0.009447531580227635, 0.009199560437711633, 0.009074840910000825, 0.00889209103907399, 0.008673135830263258, 0.008504429149554432, 0.008393944636173037, 0.00830561737683025, 0.008091632323416404, 0.008010486266299468, 0.007775105969283636, 0.0076624723864438336, 0.007447833108845061, 0.007491212873178074, 0.007215224651820588, 0.0070639032979030935, 0.006942190579662514, 0.0068082320162714755, 0.006705383622467064, 0.006532329839068809, 0.006417238819735152, 0.006425933346865289, 0.006200371715119434, 0.006216891455251775, 0.0060088798698454, 0.0057873059358438655, 0.005824219641799954, 0.0058095634182938035, 0.005571044536665663, 0.005478759713473924, 0.005265501876878019, 0.005212099847522183, 0.005160030067362207, 0.005039262582102099, 0.004951184796816289, 0.004868115579183728, 0.0047560163719974295, 0.005052392753954367, 0.004703530817049287, 0.004815547160503191, 0.004364281988645501, 0.004308831968944103, 0.004311370282389407, 0.004128480075445753, 0.004103404989564517, 0.003986116804664841, 0.0039612603628160145, 0.0038466076032930684, 0.004074149795040572, 0.0036740220253152767, 0.0035751711833808984]","[0.9590604026845637, 0.9704697986577181, 0.974496644295302, 0.9765100671140939, 0.9818791946308725, 0.9818791946308725, 0.9818791946308725, 0.9825503355704698, 0.9845637583892617, 0.9852348993288591, 0.9852348993288591, 0.9865771812080537, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.987248322147651, 0.9879194630872483, 0.9885906040268456, 0.9885906040268456, 0.9892617449664429, 0.9892617449664429, 0.9885906040268456, 0.9892617449664429, 0.9899328859060402, 0.9892617449664429, 0.9892617449664429, 0.9892617449664429, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.9899328859060402, 0.9899328859060402, 0.991275167785235, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9919463087248322, 0.991275167785235, 0.9919463087248322, 0.991275167785235, 0.991275167785235, 0.9919463087248322, 0.9906040268456375, 0.9926174496644296, 0.9919463087248322, 0.9906040268456375, 0.9926174496644296, 0.991275167785235, 0.9906040268456375, 0.991275167785235, 0.9932885906040269, 0.991275167785235, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.991275167785235, 0.991275167785235, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9932885906040269, 0.9926174496644296, 0.991275167785235, 0.9919463087248322, 0.9926174496644296, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9919463087248322, 0.9926174496644296, 0.9939597315436242, 0.9926174496644296, 0.991275167785235, 0.9932885906040269, 0.9919463087248322, 0.9926174496644296, 0.991275167785235, 0.991275167785235, 0.9926174496644296, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9932885906040269, 0.9926174496644296, 0.9939597315436242, 0.9919463087248322, 0.9919463087248322, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9939597315436242, 0.9939597315436242, 0.9926174496644296, 0.9926174496644296, 0.9919463087248322, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9919463087248322, 0.9932885906040269, 0.9939597315436242, 0.9932885906040269, 0.9932885906040269, 0.9926174496644296, 0.9939597315436242, 0.9926174496644296, 0.9932885906040269, 0.9939597315436242, 0.9939597315436242, 0.9926174496644296, 0.9932885906040269, 0.9939597315436242, 0.9926174496644296]",0.9895273899033298
2.442497457988793,0.0010234590008622035,2.0,"[0.8095255732074753, 0.2605051381577955, 0.14191883703623262, 0.10388472503241093, 0.08578453727250404, 0.07445309931890406, 0.06692181259954962, 0.06142041872326899, 0.057038551901377896, 0.05364853397817075, 0.050506013144863596, 0.048023352195510446, 0.04566899795011885, 0.04362363158911676, 0.041871498647904036, 0.040373688295886084, 0.038788200086119204, 0.03737931543609028, 0.03618608843254456, 0.03481174809411898, 0.033772931914844685, 0.032747253868720703, 0.03169788667747139, 0.030803465409369766, 0.029831416788159745, 0.028993281912222876, 0.027987091130454847, 0.027409097222529537, 0.026696032085088243, 0.02597969496459695, 0.025242395214849035, 0.02453144632148051, 0.024256653050949737, 0.023461317783028155, 0.02280357627489455, 0.022366895071837502, 0.022217382882240882, 0.021609909860876002, 0.021209851264705745, 0.02089133907036457, 0.02002734483492362, 0.019872290029934014, 0.01945637873155357, 0.019103590378948574, 0.01854122452018045, 0.018474598287029364, 0.01810430509016495, 0.017783224792674582, 0.017685103307874008, 0.017135845113895917, 0.01676336434652255, 0.01640562419686098, 0.016054730354971306, 0.016251847059815753, 0.015658535679824774, 0.015266094739649507, 0.015360026025638265, 0.015090143222708323, 0.0157730584029266, 0.014329951777250834, 0.014188325477215791, 0.014297859968353158, 0.01378692396781776, 0.01342910580654015, 0.013174083225859671, 0.013191776138183895, 0.013967493626798652, 0.013119525160522616, 0.012678328100701875, 0.012594369320897676, 0.012479938881302145, 0.012017185532249716, 0.01208715732097171, 0.011786904716233622, 0.0117393139619728, 0.011594393239411737, 0.011994813223538065, 0.011289201888470619, 0.011142271986114807, 0.01092393795798939, 0.010733500429858924, 0.01067957805568696, 0.010599159161779398]","[0.9489932885906041, 0.9657718120805369, 0.9765100671140939, 0.9778523489932885, 0.9812080536912752, 0.9845637583892617, 0.9852348993288591, 0.9838926174496644, 0.9859060402684564, 0.9859060402684564, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.9865771812080537, 0.987248322147651, 0.987248322147651, 0.9892617449664429, 0.9899328859060402, 0.9906040268456375, 0.9892617449664429, 0.9899328859060402, 0.9906040268456375, 0.9919463087248322, 0.9899328859060402, 0.9919463087248322, 0.991275167785235, 0.9919463087248322, 0.9906040268456375, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9926174496644296, 0.9926174496644296, 0.9919463087248322, 0.9926174496644296, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9926174496644296, 0.9906040268456375, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9919463087248322, 0.9926174496644296, 0.991275167785235, 0.9926174496644296, 0.991275167785235, 0.9919463087248322, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9919463087248322, 0.991275167785235, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9906040268456375, 0.9906040268456375, 0.991275167785235, 0.9919463087248322, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9899328859060402, 0.991275167785235, 0.9906040268456375, 0.991275167785235, 0.9906040268456375, 0.991275167785235, 0.991275167785235, 0.991275167785235, 0.9906040268456375]",0.9908700322234156
5.163936249999097,0.0009140830079559237,3.0,"[0.8623405265619724, 0.3618967749521337, 0.16611658660596243, 0.11487925901195581, 0.09281899898516484, 0.07997111555392764, 0.07189103865444907, 0.06583329829881168, 0.06140104678864925, 0.05771354747275226, 0.05507856680337616, 0.05222181680555144, 0.05058792728100352, 0.04823407605664846, 0.046225741655379425, 0.044519293449291286, 0.043261474928085096, 0.04212655742176205, 0.04100516330571472, 0.03945042796597343, 0.03807077102123433, 0.03664822060115714, 0.03496144607076619, 0.03362780737206883, 0.0322036882567537, 0.030877442530555337, 0.029825357721261374, 0.028734741943419025, 0.027514500147513738, 0.026425966631751705, 0.025602928400516856, 0.024853259861364836, 0.0239805930876069, 0.02303780695701564, 0.022390164224802087, 0.021750480803628763, 0.02097180398819262, 0.021397338631923366, 0.01997823666731392, 0.019242384688950016, 0.018891217814901048, 0.01826454482294854, 0.018818848134415627, 0.017368205806230524, 0.01690085715758763, 0.016525936984364664, 0.01615821253003218, 0.015715273591299435, 0.015504378631851386, 0.015042643375035669, 0.014723042059208304, 0.014531777706963482, 0.014246016511394892, 0.013930048115324743, 0.013612596683770729, 0.013323122755290722, 0.013047800965404333, 0.012773998370409781, 0.012474192784737003, 0.01238409170667704, 0.012018728704551077, 0.011897748201406613, 0.011607467350085283, 0.011444727360799135, 0.011127168327480487, 0.011039235756943658, 0.01081824913930259, 0.010590511330609866, 0.010505224120992805, 0.010263360724371385, 0.009981413929388788, 0.010474402137043875, 0.009681381443885013, 0.009508972008498888, 0.009290211919058902, 0.00921351792860509, 0.008897413605892726, 0.00883289286980852, 0.008712563741515697, 0.008588633622804823, 0.008392412002142509, 0.008499449824397553, 0.00812328204863602, 0.007899685431924115, 0.007772079539226335, 0.007657929687906364, 0.007593425699414002, 0.007515554021871664, 0.007296078941344712, 0.00724452703682267, 0.00720500992277797, 0.007036757438845078, 0.006872115352667958, 0.006698354601689074, 0.006673831592609962, 0.006436354305151646, 0.006251062582052618, 0.006253672552513266, 0.006144946104618231, 0.006094583123402569, 0.005987030118698242, 0.005844507784387644, 0.005767370667591187, 0.0055624852018566085, 0.005562779874862503, 0.005498063772419958, 0.007270795690664509, 0.005404123779859672, 0.005369625297949331, 0.005215620417035911, 0.0051022435332925276, 0.005020367127876786, 0.00504358860507297, 0.0048809244241057636, 0.004791035560390617]","[0.9241610738255034, 0.9557046979865772, 0.9610738255033557, 0.9697986577181208, 0.9758389261744966, 0.9778523489932885, 0.978523489932886, 0.9798657718120806, 0.9812080536912752, 0.9825503355704698, 0.9818791946308725, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9845637583892617, 0.9852348993288591, 0.9852348993288591, 0.9859060402684564, 0.9859060402684564, 0.9865771812080537, 0.987248322147651, 0.9879194630872483, 0.9892617449664429, 0.9892617449664429, 0.9885906040268456, 0.9899328859060402, 0.9906040268456375, 0.9899328859060402, 0.991275167785235, 0.9919463087248322, 0.991275167785235, 0.9919463087248322, 0.9919463087248322, 0.9919463087248322, 0.9926174496644296, 0.9919463087248322, 0.9926174496644296, 0.9932885906040269, 0.9926174496644296, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9932885906040269, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215, 0.9946308724832215]",0.9922126745435016
4.625804333991255,0.002960832993267104,4.0,"[0.6992281831645077, 0.2834791102153103, 0.16575207215186663, 0.1200519751281598, 0.09674319085797797, 0.08249035828959438, 0.07342471023633904, 0.0665035784300784, 0.06025057425106994, 0.054831595112329934, 0.04992233758335148, 0.046441443741101596, 0.043493711021823936, 0.04091650468931078, 0.03856137047414683, 0.03691492897120509, 0.03499663290554332, 0.03329199744970475, 0.03181968941045751, 0.030443664251921573, 0.029281639797095634, 0.027985096081892723, 0.026954392948164433, 0.026026922855632986, 0.025130970009807702, 0.02419854431586872, 0.023466392147421827, 0.022733787021405945, 0.021917363155075, 0.021199854805250867, 0.020557829464024624, 0.020652564917580017, 0.01929930988524385, 0.0189914047484218, 0.01816806219249803, 0.01768796340492807, 0.01711236788597013, 0.016679892499797996, 0.0162654171195579, 0.015835142822150493, 0.015577010470739184, 0.015244599182597709, 0.014792659044360109, 0.014522334696173863, 0.014103084688225284, 0.013744530927215106, 0.013408651929568556, 0.013087200795031223, 0.012830385622027787, 0.012787772672709596, 0.01230719268536569, 0.013004326112032148, 0.011934746378850176, 0.011650135643437209, 0.011366048683779677, 0.011174786806367734, 0.01074215028485157, 0.010689688975447429, 0.010381156841883286, 0.010268349680355887, 0.009983970345315833, 0.009785054650105925, 0.009545581505096178, 0.009402938092247392, 0.009297644603075328, 0.008960042048111764, 0.008799437939033282, 0.008602987110002786, 0.008508563953852598, 0.008448849731489782, 0.00809091469535044, 0.00807163892100089, 0.007836047051039652, 0.0076627787493288285, 0.007488304608876445, 0.007377834715406277, 0.0073608676533933074, 0.007168884311353512, 0.007178887019640455, 0.007026623513627061, 0.00679797203148414, 0.0066452419799275355, 0.00660757641256163, 0.006389338431070315, 0.006231119673091642, 0.006163666260996252, 0.006092624466980811, 0.005978928159699159, 0.005931553048978731, 0.0057230546244814405, 0.005658252174093603, 0.0055077257322121865, 0.005489593146389616, 0.005339009119506304, 0.005219991453469093, 0.005181602382043929, 0.005061421706328956, 0.005174528477582442, 0.004927337077542764, 0.004874574770373264]","[0.9429530201342282, 0.9671140939597316, 0.9765100671140939, 0.978523489932886, 0.9812080536912752, 0.9791946308724833, 0.9845637583892617, 0.9845637583892617, 0.9852348993288591, 0.9885906040268456, 0.9885906040268456, 0.9906040268456375, 0.991275167785235, 0.9919463087248322, 0.9932885906040269, 0.9932885906040269, 0.9939597315436242, 0.9939597315436242, 0.9946308724832215, 0.9939597315436242, 0.9946308724832215, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9946308724832215, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9959731543624161, 0.9939597315436242, 0.9953020134228188, 0.9946308724832215, 0.9953020134228188, 0.9946308724832215, 0.9953020134228188, 0.9953020134228188, 0.9953020134228188, 0.9966442953020134, 0.9959731543624161, 0.9966442953020134, 0.9966442953020134, 0.9959731543624161, 0.9966442953020134, 0.9959731543624161, 0.9973154362416108, 0.9959731543624161, 0.9959731543624161, 0.9959731543624161, 0.9959731543624161, 0.9959731543624161, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9959731543624161, 0.9959731543624161, 0.9953020134228188, 0.9966442953020134, 0.9966442953020134, 0.9966442953020134, 0.9973154362416108, 0.9966442953020134, 0.9953020134228188, 0.9959731543624161, 0.9953020134228188, 0.9966442953020134, 0.9959731543624161, 0.9966442953020134, 0.9966442953020134, 0.9966442953020134, 0.9966442953020134, 0.9959731543624161, 0.9966442953020134, 0.9966442953020134, 0.9966442953020134, 0.9973154362416108, 0.9966442953020134, 0.9966442953020134, 0.9973154362416108, 0.9973154362416108, 0.9966442953020134, 0.9973154362416108, 0.9966442953020134, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108, 0.9966442953020134, 0.9966442953020134, 0.9973154362416108, 0.9959731543624161, 0.9973154362416108, 0.9973154362416108, 0.9973154362416108]",0.9908700322234156
